datetime,count
2011-01-20 00:00:00,12.352
2011-01-20 01:00:00,4.46
2011-01-20 02:00:00,3.58
2011-01-20 03:00:00,3.36
2011-01-20 04:00:00,2.98
2011-01-20 05:00:00,5.24
2011-01-20 06:00:00,37.316
2011-01-20 07:00:00,83.324
2011-01-20 08:00:00,176.384
2011-01-20 09:00:00,110.804
2011-01-20 10:00:00,60.16
2011-01-20 11:00:00,61.08
2011-01-20 12:00:00,79.308
2011-01-20 13:00:00,67.84
2011-01-20 14:00:00,74.42
2011-01-20 15:00:00,74.832
2011-01-20 16:00:00,85.912
2011-01-20 17:00:00,202.876
2011-01-20 18:00:00,176.996
2011-01-20 19:00:00,111.896
2011-01-20 20:00:00,70.364
2011-01-20 21:00:00,47.944
2011-01-20 22:00:00,30.432
2011-01-20 23:00:00,24.448
2011-01-21 00:00:00,18.748
2011-01-21 01:00:00,7.5
2011-01-21 02:00:00,5.2
2011-01-21 03:00:00,3.072
2011-01-21 04:00:00,2.148
2011-01-21 05:00:00,3.856
2011-01-21 06:00:00,30.652
2011-01-21 07:00:00,82.396
2011-01-21 08:00:00,162.692
2011-01-21 09:00:00,112.84
2011-01-21 10:00:00,54.752
2011-01-21 11:00:00,63.64
2011-01-21 12:00:00,68.312
2011-01-21 13:00:00,67.772
2011-01-21 14:00:00,63.828
2011-01-21 15:00:00,64.416
2011-01-21 16:00:00,77.136
2011-01-21 17:00:00,152.252
2011-01-21 18:00:00,147.676
2011-01-21 19:00:00,105.396
2011-01-21 20:00:00,58.804
2011-01-21 21:00:00,43.412
2011-01-21 22:00:00,30.236
2011-01-21 23:00:00,20.504
2011-01-22 00:00:00,24.864
2011-01-22 01:00:00,18.0
2011-01-22 02:00:00,11.72
2011-01-22 03:00:00,8.14
2011-01-22 04:00:00,3.64
2011-01-22 06:00:00,3.896
2011-01-22 07:00:00,20.256
2011-01-22 08:00:00,28.0
2011-01-22 09:00:00,35.9
2011-01-22 10:00:00,58.724
2011-01-22 11:00:00,63.568
2011-01-22 12:00:00,74.872
2011-01-22 13:00:00,75.4
2011-01-22 14:00:00,74.776
2011-01-22 15:00:00,77.052
2011-01-22 16:00:00,74.492
2011-01-22 17:00:00,88.928
2011-01-22 18:00:00,62.756
2011-01-22 19:00:00,43.768
2011-01-22 20:00:00,43.8
2011-01-22 21:00:00,42.756
2011-01-22 22:00:00,32.54
2011-01-22 23:00:00,19.996
2011-01-23 00:00:00,28.304
2011-01-23 01:00:00,20.48
2011-01-23 02:00:00,14.956
2011-01-23 03:00:00,13.572
2011-01-23 05:00:00,3.028
2011-01-23 06:00:00,2.448
2011-01-23 07:00:00,15.084
2011-01-23 08:00:00,24.928
2011-01-23 09:00:00,30.284
2011-01-23 10:00:00,53.428
2011-01-23 11:00:00,58.696
2011-01-23 12:00:00,71.712
2011-01-23 13:00:00,72.56
2011-01-23 14:00:00,77.236
2011-01-23 15:00:00,76.44
2011-01-23 16:00:00,77.42
2011-01-23 17:00:00,80.388
2011-01-23 18:00:00,75.06
2011-01-23 19:00:00,51.32
2011-01-23 20:00:00,34.084
2011-01-23 21:00:00,33.964
2011-01-23 22:00:00,18.412
2011-01-23 23:00:00,15.948
2011-01-24 00:00:00,11.5
2011-01-24 01:00:00,4.912
2011-01-24 03:00:00,1.656
2011-01-24 04:00:00,1.664
2011-01-24 05:00:00,5.408
2011-01-24 06:00:00,28.34
2011-01-24 07:00:00,82.712
2011-01-24 08:00:00,169.372
2011-01-24 09:00:00,109.588
2011-01-24 10:00:00,55.944
2011-01-24 11:00:00,47.484
2011-01-24 12:00:00,57.772
2011-01-24 13:00:00,50.376
2011-01-24 14:00:00,48.132
2011-01-24 15:00:00,56.624
2011-01-24 16:00:00,64.04
2011-01-24 17:00:00,152.436
2011-01-24 18:00:00,145.816
2011-01-24 19:00:00,99.884
2011-01-24 20:00:00,56.36
2011-01-24 21:00:00,43.448
2011-01-24 22:00:00,26.716
2011-01-24 23:00:00,19.896
2011-01-25 00:00:00,8.448
2011-01-25 01:00:00,3.848
2011-01-25 02:00:00,2.264
2011-01-25 04:00:00,1.828
2011-01-25 05:00:00,4.948
2011-01-25 06:00:00,34.724
2011-01-25 07:00:00,78.248
2011-01-25 08:00:00,159.444
2011-01-25 09:00:00,107.24
2011-01-25 10:00:00,57.604
2011-01-25 11:00:00,54.608
2011-01-25 12:00:00,64.904
2011-01-25 13:00:00,60.636
2011-01-25 14:00:00,72.896
2011-01-25 15:00:00,72.04
2011-01-25 16:00:00,81.568
2011-01-25 17:00:00,201.708
2011-01-25 18:00:00,184.74
2011-01-25 19:00:00,111.38
2011-01-25 20:00:00,64.2
2011-01-25 21:00:00,46.292
2011-01-25 22:00:00,29.772
2011-01-25 23:00:00,18.684
2011-01-26 00:00:00,8.904
2011-01-26 01:00:00,5.532
2011-01-26 02:00:00,3.076
2011-01-26 05:00:00,3.972
2011-01-26 06:00:00,25.26
2011-01-26 07:00:00,70.024
2011-01-26 08:00:00,129.828
2011-01-26 09:00:00,93.224
2011-01-26 10:00:00,44.516
2011-01-26 11:00:00,42.74
2011-01-26 12:00:00,43.752
2011-01-26 13:00:00,44.508
2011-01-26 14:00:00,43.976
2011-01-26 15:00:00,46.612
2011-01-26 16:00:00,55.388
2011-01-26 17:00:00,121.704
2011-01-27 16:00:00,70.172
2011-01-27 17:00:00,167.948
2011-01-27 18:00:00,146.332
2011-01-27 19:00:00,110.084
2011-01-27 20:00:00,71.732
2011-01-27 21:00:00,48.812
2011-01-27 22:00:00,28.78
2011-01-27 23:00:00,19.892
2011-01-28 00:00:00,14.112
2011-01-28 01:00:00,6.932
2011-01-28 02:00:00,2.24
2011-01-28 03:00:00,1.72
2011-01-28 05:00:00,6.568
2011-01-28 06:00:00,31.632
2011-01-28 07:00:00,77.736
2011-01-28 08:00:00,159.54
2011-01-28 09:00:00,92.744
2011-01-28 10:00:00,46.288
2011-01-28 11:00:00,48.312
2011-01-28 12:00:00,51.432
2011-01-28 13:00:00,51.836
2011-01-28 14:00:00,55.028
2011-01-28 15:00:00,49.528
2011-01-28 16:00:00,61.048
2011-01-28 17:00:00,162.892
2011-01-28 18:00:00,151.24
2011-01-28 19:00:00,109.032
2011-01-28 20:00:00,65.972
2011-01-28 21:00:00,45.648
2011-01-28 22:00:00,32.46
2011-01-28 23:00:00,23.692
2011-01-29 00:00:00,26.932
2011-01-29 01:00:00,23.964
2011-01-29 02:00:00,19.428
2011-01-29 03:00:00,11.26
2011-01-29 04:00:00,3.52
2011-01-29 06:00:00,2.916
2011-01-29 07:00:00,14.408
2011-01-29 08:00:00,25.492
2011-01-29 09:00:00,40.116
2011-01-29 10:00:00,61.128
2011-01-29 11:00:00,62.916
2011-01-29 12:00:00,83.356
2011-01-29 13:00:00,85.904
2011-01-29 14:00:00,84.284
2011-01-29 15:00:00,83.048
2011-01-29 16:00:00,83.352
2011-01-29 17:00:00,81.008
2011-01-29 18:00:00,63.08
2011-01-29 19:00:00,65.732
2011-01-29 20:00:00,43.8
2011-01-29 21:00:00,40.592
2011-01-29 22:00:00,27.828
2011-01-29 23:00:00,22.94
2011-01-30 00:00:00,30.196
2011-01-30 01:00:00,28.58
2011-01-30 02:00:00,19.652
2011-01-30 03:00:00,12.788
2011-01-30 04:00:00,5.592
2011-01-30 05:00:00,4.584
2011-01-30 07:00:00,14.012
2011-01-30 08:00:00,25.944
2011-01-30 09:00:00,30.016
2011-01-30 10:00:00,55.672
2011-01-30 11:00:00,61.04
2011-01-30 12:00:00,87.128
2011-01-30 13:00:00,82.512
2011-01-30 14:00:00,83.996
2011-01-30 15:00:00,84.968
2011-01-30 16:00:00,85.064
2011-01-30 17:00:00,73.564
2011-01-30 18:00:00,61.26
2011-01-30 19:00:00,42.484
2011-01-30 20:00:00,39.948
2011-01-30 21:00:00,30.356
2011-01-30 22:00:00,18.784
2011-01-30 23:00:00,17.444
2011-01-31 00:00:00,11.156
2011-01-31 01:00:00,3.272
2011-01-31 02:00:00,2.556
2011-01-31 03:00:00,2.4
2011-01-31 04:00:00,1.964
2011-01-31 05:00:00,3.784
2011-01-31 06:00:00,33.356
2011-01-31 07:00:00,76.1
2011-01-31 08:00:00,157.424
2011-01-31 09:00:00,95.768
2011-01-31 10:00:00,45.184
2011-01-31 11:00:00,43.348
2011-01-31 12:00:00,55.028
2011-01-31 13:00:00,60.1
2011-01-31 14:00:00,53.6
2011-01-31 15:00:00,52.948
2011-01-31 16:00:00,61.324
2011-01-31 17:00:00,157.976
2011-01-31 18:00:00,146.524
2011-01-31 19:00:00,115.98
2011-01-31 20:00:00,55.044
2011-01-31 21:00:00,46.86
2011-01-31 22:00:00,27.892
2011-01-31 23:00:00,19.868
2011-02-20 00:00:00,38.48
2011-02-20 01:00:00,30.336
2011-02-20 02:00:00,21.084
2011-02-20 03:00:00,11.98
2011-02-20 04:00:00,2.324
2011-02-20 06:00:00,3.704
2011-02-20 07:00:00,17.016
2011-02-20 08:00:00,27.808
2011-02-20 09:00:00,44.04
2011-02-20 10:00:00,92.924
2011-02-20 11:00:00,115.456
2011-02-20 12:00:00,123.504
2011-02-20 13:00:00,152.164
2011-02-20 14:00:00,147.992
2011-02-20 15:00:00,159.128
2011-02-20 16:00:00,153.54
2011-02-20 17:00:00,111.88
2011-02-20 18:00:00,88.32
2011-02-20 19:00:00,72.328
2011-02-20 20:00:00,64.12
2011-02-20 21:00:00,52.712
2011-02-20 22:00:00,41.836
2011-02-20 23:00:00,32.628
2011-02-21 00:00:00,34.16
2011-02-21 01:00:00,28.684
2011-02-21 02:00:00,18.852
2011-02-21 03:00:00,6.7
2011-02-21 04:00:00,4.768
2011-02-21 05:00:00,6.292
2011-02-21 06:00:00,23.396
2011-02-21 07:00:00,57.652
2011-02-21 08:00:00,59.04
2011-02-21 09:00:00,65.796
2011-02-21 10:00:00,101.62
2011-02-21 11:00:00,114.488
2011-02-21 12:00:00,115.948
2011-02-21 13:00:00,88.984
2011-02-21 14:00:00,118.14
2011-02-21 15:00:00,120.444
2011-02-21 16:00:00,92.24
2011-02-21 17:00:00,84.312
2011-02-21 18:00:00,76.764
2011-02-21 19:00:00,69.508
2011-02-21 20:00:00,42.788
2011-02-21 21:00:00,40.4
2011-02-21 22:00:00,36.196
2011-02-21 23:00:00,29.628
2011-02-22 06:00:00,32.252
2011-02-22 07:00:00,92.996
2011-02-22 08:00:00,205.512
2011-02-22 09:00:00,120.464
2011-02-22 10:00:00,51.044
2011-02-22 11:00:00,51.272
2011-02-22 12:00:00,59.9
2011-02-22 13:00:00,61.82
2011-02-22 14:00:00,59.352
2011-02-22 15:00:00,62.004
2011-02-22 16:00:00,73.844
2011-02-22 17:00:00,164.088
2011-02-22 18:00:00,159.276
2011-02-22 19:00:00,107.888
2011-02-22 20:00:00,71.692
2011-02-22 21:00:00,57.668
2011-02-22 22:00:00,38.556
2011-02-22 23:00:00,24.072
2011-02-23 00:00:00,10.788
2011-02-23 01:00:00,6.096
2011-02-23 02:00:00,2.432
2011-02-23 03:00:00,1.524
2011-02-23 05:00:00,5.796
2011-02-23 06:00:00,29.7
2011-02-23 07:00:00,90.36
2011-02-23 08:00:00,200.14
2011-02-23 09:00:00,123.0
2011-02-23 10:00:00,61.024
2011-02-23 11:00:00,61.636
2011-02-23 12:00:00,71.976
2011-02-23 13:00:00,79.94
2011-02-23 14:00:00,81.596
2011-02-23 15:00:00,86.2
2011-02-23 16:00:00,112.676
2011-02-23 17:00:00,201.072
2011-02-23 18:00:00,190.488
2011-02-23 19:00:00,127.24
2011-02-23 20:00:00,76.328
2011-02-23 21:00:00,67.32
2011-02-23 22:00:00,49.108
2011-02-23 23:00:00,33.616
2011-02-24 00:00:00,11.54
2011-02-24 01:00:00,4.944
2011-02-24 02:00:00,2.388
2011-02-24 03:00:00,1.78
2011-02-24 05:00:00,7.996
2011-02-24 06:00:00,36.972
2011-02-24 07:00:00,101.464
2011-02-24 08:00:00,237.496
2011-02-24 09:00:00,125.824
2011-02-24 10:00:00,58.192
2011-02-24 11:00:00,83.264
2011-02-24 12:00:00,91.496
2011-02-24 13:00:00,88.424
2011-02-24 14:00:00,87.808
2011-02-24 15:00:00,59.22
2011-02-24 16:00:00,69.324
2011-02-24 17:00:00,175.78
2011-02-24 18:00:00,166.404
2011-02-24 19:00:00,109.036
2011-02-24 20:00:00,83.348
2011-02-24 21:00:00,63.388
2011-02-24 22:00:00,48.104
2011-02-24 23:00:00,31.38
2011-02-25 00:00:00,15.788
2011-02-25 01:00:00,9.744
2011-02-25 02:00:00,8.216
2011-02-25 03:00:00,2.988
2011-02-25 05:00:00,7.88
2011-02-25 06:00:00,25.224
2011-02-25 07:00:00,72.636
2011-02-25 08:00:00,139.428
2011-02-25 09:00:00,98.48
2011-02-25 10:00:00,51.612
2011-02-25 11:00:00,119.656
2011-02-25 12:00:00,166.956
2011-02-25 13:00:00,168.248
2011-02-25 14:00:00,172.532
2011-02-25 15:00:00,163.584
2011-02-25 16:00:00,116.008
2011-02-25 17:00:00,203.34
2011-02-25 18:00:00,188.656
2011-02-25 19:00:00,104.096
2011-02-25 20:00:00,69.304
2011-02-25 21:00:00,52.344
2011-02-25 22:00:00,43.72
2011-02-25 23:00:00,32.616
2011-02-26 00:00:00,31.392
2011-02-26 01:00:00,23.948
2011-02-26 02:00:00,19.908
2011-02-26 03:00:00,11.408
2011-02-26 04:00:00,3.292
2011-02-26 05:00:00,2.224
2011-02-26 06:00:00,4.3
2011-02-26 07:00:00,15.256
2011-02-26 08:00:00,28.544
2011-02-26 09:00:00,52.508
2011-02-26 10:00:00,102.832
2011-02-26 11:00:00,117.816
2011-02-26 12:00:00,128.032
2011-02-26 13:00:00,147.912
2011-02-26 14:00:00,149.152
2011-02-26 15:00:00,156.012
2011-02-26 16:00:00,147.36
2011-02-26 17:00:00,104.656
2011-02-26 18:00:00,86.592
2011-02-26 19:00:00,64.76
